G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-2461-MONOMER	G1GMP-2461	Q8EDR7	Mu phage uncharacterized protein Gp26	
G1GMP-4198-MONOMER	G1GMP-4198	Q8E8W1	putative alpha-dextrin endo-1 6-alpha-glucosidase	
G1GMP-1497-MONOMER	G1GMP-1497	Q8EGH7	methionine aminopeptidase Map	Map
G1GMP-3143-MONOMER	G1GMP-3143	Q8EBX1	membrane protein of unknown function DUF3634	
G1GMP-2598-MONOMER	G1GMP-2598	Q8EDE2	oxidoreductase short chain dehydrogenase/reductase family	
G1GMP-168-MONOMER	G1GMP-168	Q8EKB3	hypothetical protein	
G1GMP-715-MONOMER	G1GMP-715	Q8EIS0	putative amino acid efflux permease RhtB family	
G1GMP-2896-MONOMER	G1GMP-2896	Q8ECL2	ATP-dependent RNA helicase DEAD box family	
G1GMP-4357-MONOMER	G1GMP-4357	Q8E8F1	ABC-type amino acid uptake system substrate-binding component PAAT family	
G1GMP-1373-MONOMER	G1GMP-1373	Q8EGV7	isocitrate lyase AceA	AceA
G1GMP-2421-MONOMER	G1GMP-2421	Q8EDV7	cupin 4 family protein	
G1GMP-1162-MONOMER	G1GMP-1162	Q8EHG5	acyl-CoA thioester hydrolase, YbgC/YbaW family	
G1GMP-1668-MONOMER	G1GMP-1668	Q8EFZ8	periplasmic protein of unknown function DUF2057	
G1GMP-3872-MONOMER	G1GMP-3872	Q8E9R7	bifunctional 2-octaprenyl-6-methoxy-14-benzoquinone methylase/S-adenosylmethionine:2-DMK methyltransferase UbiE	UbiE
G1GMP-2054-MONOMER	G1GMP-2054	Q8EEW4	L-serine ammonia-lyase SdaA	SdaA
G1GMP-3941-MONOMER	G1GMP-3941	Q8E9K5	adenosine monophosphate-protein transferase SoFic	MloA
G1GMP-3256-MONOMER	G1GMP-3256	Q8EBM0	cyclic di-GMP hydrolase	
G1GMP-1544-MONOMER	G1GMP-1544	Q8EGC6	methylmalonate-semialdehyde dehydrogenase IvdB	IvdB
G1GMP-589-MONOMER	G1GMP-589	Q8EJ53	putative hydrolase involved in arginine and ornithine metabolism	
G1GMP-1032-MONOMER	G1GMP-1032	Q8EHU1	gamma-glutamyl phosphate reductase ProA	ProA
G1GMP-2462-MONOMER	G1GMP-2462	Q8EDR6	Mu phage small terminase subunit GpD	
G1GMP-4407-MONOMER	G1GMP-4407		type II DNA modification methyltransferase	
G1GMP-1279-MONOMER	G1GMP-1279	Q8EH49	alkyl hydroperoxide reductase/ thiol specific antioxidant family protein	
G1GMP-1987-MONOMER	G1GMP-1987	Q8CLY6	ISSod25 transposase TnpA_ISSod25	TnpA
G1GMP-2670-MONOMER	G1GMP-2670	Q8ED72	protein of unknown function DUF188 YaiI	YaiI
G1GMP-1775-MONOMER	G1GMP-1775	Q8EFP4	citrate synthase GltA	GltA
G1GMP-3449-MONOMER	G1GMP-3449	Q8EB27	inner membrane MAPEG superfamily protein	
G1GMP-505-MONOMER	G1GMP-505	Q8EJD3	arsenate permease ACR3 family	
G1GMP-2422-MONOMER	G1GMP-2422	Q8EDV6	hypothetical protein	
G1GMP-847-MONOMER	G1GMP-847	Q8EID2	protein of unknown function DUF1568	
G1GMP-248-MONOMER	G1GMP-248	Q8EK44	ABC-type heme export system chaperone component CcmE	CcmE
G1GMP-1620-MONOMER	G1GMP-1620	Q8EG40	glycerate kinase GarK	GarK
G1GMP-2732-MONOMER	G1GMP-2732	Q8ED13	Lambda phage protein HK97-gp10 family	
G1GMP-3579-MONOMER	G1GMP-3579	Q8EAP0	phosphoesterase PA-phosphatase related protein	
G1GMP-4200-MONOMER	G1GMP-4200	Q8CME4	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-4358-MONOMER	G1GMP-4358	Q8E8F0	membrane protein of unknown function DUF165	
G1GMP-3018-MONOMER	G1GMP-3018	Q8ECA4	flagellar hook-associated protein FlgL	FlgL
G1GMP-3706-MONOMER	G1GMP-3706	Q8EAA6	two component signal transduction system hybrid histidine kinase/response regulator with PAS sensory domain	
G1GMP-52-MONOMER	G1GMP-52	P59175	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	GpmA
G1GMP-320-MONOMER	G1GMP-320	Q8EJX1	septal ring assembly factor ZapB	ZapB
G1GMP-2463-MONOMER	G1GMP-2463	Q8EDR5	Mu phage uncharacterized protein	
G1GMP-3144-MONOMER	G1GMP-3144	K4PU36	predicted lipoprotein	
G1GMP-974-MONOMER	G1GMP-974	Q8EI00	phosphoenolpyruvate/pyruvate domain superfamily protein	
G1GMP-2600-MONOMER	G1GMP-2600	Q8EDE1	transporter-like protein HCC family	
G1GMP-2792-MONOMER	G1GMP-2792	Q8ECV6	PHP family metal-dependent phosphoesterases TrpH	TrpH
G1GMP-473-MONOMER	G1GMP-473	Q8EJH0	serine/threonine protein kinase	
G1GMP-2897-MONOMER	G1GMP-2897	Q8ECL1	constitutive O6-methylguanine-DNA methyltransferase II Ogt	Ogt
G1GMP-2423-MONOMER	G1GMP-2423	Q8EDV5	leucine dehydrogenase Ldh	Ldh
G1GMP-4514-MONOMER	G1GMP-4514	Q8E838	ISSod8, transposase	
G1GMP-1708-MONOMER	G1GMP-1708	Q8EFV9	3-hydroxydecanoyl-(acyl-carrier-protein) dehydratase FabA	FabA
G1GMP-1280-MONOMER	G1GMP-1280	Q8EH48	hypothetical protein	
G1GMP-392-MONOMER	G1GMP-392	Q8EJQ5	ATP-dependent RNA helicase RhlB	RhlB
G1GMP-4287-MONOMER	G1GMP-4287	Q8E8M3	antioxidant AhpC/Tsa family	
G1GMP-1163-MONOMER	G1GMP-1163	Q8EHG3	adenylosuccinate synthetase	
G1GMP-590-MONOMER	G1GMP-590	Q8EJ52	two component signal transduction system histidine kinase	
G1GMP-716-MONOMER	G1GMP-716	Q8EIR9	transcriptional regulator AraC family	
G1GMP-2464-MONOMER	G1GMP-2464	Q8EDR4	Mu phage large terminase subunit GpE	
G1GMP-3450-MONOMER	G1GMP-3450	Q8EB26	ABC-type cobalamin uptake system substrate-binding component BtuF	BtuF
G1GMP-4408-MONOMER	G1GMP-4408	Q8E8A4	hypothetical protein	
G1GMP-2424-MONOMER	G1GMP-2424	Q8EDV4	hypothetical protein	
G1GMP-849-MONOMER	G1GMP-849	Q8EID1	hypothetical protein	
G1GMP-3019-MONOMER	G1GMP-3019	K4PSJ4	flagellar hook-filament junction protein FlgK	FlgK
G1GMP-3580-MONOMER	G1GMP-3580	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-3707-MONOMER	G1GMP-3707	Q8EAA5	metal dependent phosphohydrolase with response regulator receiver modulation	
G1GMP-249-MONOMER	G1GMP-249	Q8EK43	ABC-type heme export system CcmE-interacting component CcmD	CcmD
G1GMP-2465-MONOMER	G1GMP-2465	Q8EDR3	Mu phage portal protein GpH	
G1GMP-2601-MONOMER	G1GMP-2601	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-4359-MONOMER	G1GMP-4359	Q8E8E9	acteyltransferase GNAT family	
G1GMP-3145-MONOMER	G1GMP-3145	Q8EBW9	predicted lipoprotein	
G1GMP-2898-MONOMER	G1GMP-2898	Q8ECL0	multifunctional transcriptional regulator of DNA repair AraC family/ DNA glycosylase / 8-oxoguanine DNA glycosylase	
G1GMP-1374-MONOMER	G1GMP-1374	Q8EGV5	acyl-CoA thioesterase	
G1GMP-135-MONOMER	G1GMP-135	Q8EKF2	3,4-dihydroxy-2-butanone-4-phosphate synthase	RibB
G1GMP-2425-MONOMER	G1GMP-2425	Q8EDV3	transcriptional regulator MarR family	
G1GMP-1033-MONOMER	G1GMP-1033	Q8EHU0	predicted inner membrane protein	
G1GMP-1811-MONOMER	G1GMP-1811	Q8EFK9	4-hydroxyphenylpyruvate dioxygenase	HppD
G1GMP-3811-MONOMER	G1GMP-3811	Q8E9Y4	hypothetical protein	
G1GMP-4201-MONOMER	G1GMP-4201	Q8E8V8	protein of unknown function DUF1568	
G1GMP-1281-MONOMER	G1GMP-1281	Q8EH47	ATP-dependent RNA helicase DEAD box family	
G1GMP-591-MONOMER	G1GMP-591	Q8EJ51	two component signal transduction system response regulator	
G1GMP-3451-MONOMER	G1GMP-3451	Q8EB24	protein of unknown function DUF2235	
G1GMP-3873-MONOMER	G1GMP-3873	Q8E9R6	protein of unknown function DUF1243 YigP	YigP
G1GMP-3942-MONOMER	G1GMP-3942	Q8E9K4	type I restriction-modification system restriction endonuclease cleavage subunit HsdR	HsdR
G1GMP-1164-MONOMER	G1GMP-1164	Q8EHG2	transcriptional regulator LysR family	
G1GMP-1989-MONOMER	G1GMP-1989	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-2466-MONOMER	G1GMP-2466	Q8EDR2	Mu phage uncharacterized protein GpF	
G1GMP-321-MONOMER	G1GMP-321	Q8EJX0	sodium:proton antiporter NhaC family	
G1GMP-2671-MONOMER	G1GMP-2671	Q8ED71	pyridoxamine-phosphate oxidase PdxH	PdxH
G1GMP-393-MONOMER	G1GMP-393	Q8EJQ4	guanosine pentaphosphate phosphatase GppA	GppA
G1GMP-53-MONOMER	G1GMP-53	Q8EKP2	rhodanese domain protein	
G1GMP-1499-MONOMER	G1GMP-1499	Q8EGH5	30S ribosomal protein S2 RpsB	RpsB
G1GMP-2426-MONOMER	G1GMP-2426	Q8EDV1	protein of unknown function DUF1285	
G1GMP-4515-MONOMER	G1GMP-4515	Q8E837	methyl-accepting chemotaxis protein	
G1GMP-4202-MONOMER	G1GMP-4202	Q8CM09	ISSod14 transposase TnpA_ISSod14	TnpA
G1GMP-1848-MONOMER	G1GMP-1848	Q8EFG7	tRNA-dihydrouridine synthase C DusC	DusC
G1GMP-3020-MONOMER	G1GMP-3020	Q8ECA3	flagellar rod cap protein and peptidoglycan hydrolase FlgJ	FlgJ
G1GMP-2733-MONOMER	G1GMP-2733	Q8ED12	Lambda phage uncharacterized protein	
G1GMP-3323-MONOMER	G1GMP-3323	Q8EBF5	2OG-Fe(II) oxygenase family protein	
G1GMP-1886-MONOMER	G1GMP-1886	Q8EFD3	sulfatase with domain of unknown function DUF1705	
G1GMP-1426-MONOMER	G1GMP-1426	Q8EGQ2	protein of unknown function DUF1568	
G1GMP-3581-MONOMER	G1GMP-3581	Q8EAN9	diguanylate cyclase	
G1GMP-3291-MONOMER	G1GMP-3291	Q8EBI7	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase IspH	IspH
G1GMP-3708-MONOMER	G1GMP-3708	Q8EAA4	proton/sodium:glutamate symporter DAACS family	
G1GMP-2467-MONOMER	G1GMP-2467	Q8EDR1	Mu phage uncharacterized protein	
G1GMP-1282-MONOMER	G1GMP-1282	Q8EH45	chemotaxis signal transduction system methyl accepting sensory transducer with PAS sensory domain	
G1GMP-719-MONOMER	G1GMP-719	Q8EIR7	NAD dependent epimerase/dehydratase family protein	
G1GMP-2603-MONOMER	G1GMP-2603	Q8CMD3	ISSod11 transposase TnpA_ISSod11	TnpA
G1GMP-3146-MONOMER	G1GMP-3146	Q8EBW8	predicted periplasmic protein	
G1GMP-2427-MONOMER	G1GMP-2427	Q8EDV0	oxidoreductase FAD-binding protein	
G1GMP-2793-MONOMER	G1GMP-2793	Q8ECV4	anthranilate synthase component I TrpE	TrpE
G1GMP-169-MONOMER	G1GMP-169	Q8EKB2	acteyltransferase GNAT family	
G1GMP-2055-MONOMER	G1GMP-2055	Q8EEW2	beta-N-acetylglucosaminidase NagZ	NagZ
G1GMP-2899-MONOMER	G1GMP-2899	Q8ECK9	ABC-type metal export system bifunctional ATPase and permease component	
G1GMP-4409-MONOMER	G1GMP-4409	Q8E8A3	ParA family protein	
G1GMP-1460-MONOMER	G1GMP-1460	Q8EGL4	predicted membrane protein	
G1GMP-592-MONOMER	G1GMP-592	Q8EJ50	hypothetical protein	
G1GMP-4361-MONOMER	G1GMP-4361	Q8E8E8	tungstate-responsive two component signal transduction system histidine kinase	
G1GMP-1583-MONOMER	G1GMP-1583	Q8EG83	ABC-type high affinity phosphate uptake system permease component PstA	PstA
G1GMP-1165-MONOMER	G1GMP-1165	Q8EHG1	extracellular solute-binding protein family 3	
G1GMP-3452-MONOMER	G1GMP-3452	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-4288-MONOMER	G1GMP-4288	Q8E8M2	toxin-antitoxin system toxin RelE family	
G1GMP-1545-MONOMER	G1GMP-1545	Q8EGC5	2-methylbutanoyl-CoA dehydrogenase IvdC	IvdC
G1GMP-850-MONOMER	G1GMP-850	Q8EID0	cell filamentation protein Fic	Fic
G1GMP-475-MONOMER	G1GMP-475	Q8EJG7	chemotaxis signal transduction system methyl accepting sensory transducer with 4HB_MCP sensory domain	
G1GMP-2428-MONOMER	G1GMP-2428	Q8EDU9	phosphoenolpyruvate synthase PpsA	PpsA
G1GMP-250-MONOMER	G1GMP-250	Q8EK42	ABC-type heme export system permease component 2 CcmC	CcmC
G1GMP-2468-MONOMER	G1GMP-2468	Q8EDR0	Mu phage uncharacterized protein	
G1GMP-3021-MONOMER	G1GMP-3021	Q8ECA2	flagellar P-ring protein FlgI	FlgI
G1GMP-720-MONOMER	G1GMP-720	Q8EIR6	arginine-responsive transcriptional repressor of arginine metabolism ArgR	ArgR
G1GMP-3582-MONOMER	G1GMP-3582	Q8EAN8	periplasmic substrate binding protein family 3	
G1GMP-1669-MONOMER	G1GMP-1669	Q8EFZ7	primosomal replication protein N'-like protein	
G1GMP-506-MONOMER	G1GMP-506	Q8EJD2	permease of unknown function DUF318	
G1GMP-1283-MONOMER	G1GMP-1283	Q8EH43	HD domain protein	
G1GMP-3709-MONOMER	G1GMP-3709	Q8EAA3	protein of unknown function DUF2220	
G1GMP-2604-MONOMER	G1GMP-2604	Q8EDD9	probable metal-binding protein YecH	YecH
G1GMP-3453-MONOMER	G1GMP-3453	Q8EB23	hypothetical protein	
G1GMP-3147-MONOMER	G1GMP-3147	Q8EBW7	membrane protein of unknown function DUF2878	
G1GMP-3943-MONOMER	G1GMP-3943	Q8CM39	ISSod2 transposase TnpA_ISSod2	TnpA
G1GMP-593-MONOMER	G1GMP-593	Q8EJ49	cAMP-responsive regulator of catabolite repression Crp	Crp
G1GMP-1621-MONOMER	G1GMP-1621	Q8EG39	D-glycerate transporter GrtP	GrtP
G1GMP-1926-MONOMER	G1GMP-1926	Q8EF90	NiFe hydrogenase assembly chaperone HyaE	HyaE
G1GMP-2429-MONOMER	G1GMP-2429	Q8EDU8	putative phosphotransferase YdiA	YdiA
G1GMP-4204-MONOMER	G1GMP-4204	Q8E8V6	methyltransferase domain protein	
G1GMP-1941-MONOMER	G1GMP-1941	Q8EF75	hypothetical protein	
G1GMP-1990-MONOMER	G1GMP-1990	K4PTZ0	hypothetical protein	
G1GMP-3812-MONOMER	G1GMP-3812	Q8CX37	putative negative regulator of univalent cation permeability	
G1GMP-4410-MONOMER	G1GMP-4410	Q8E8A2	hypothetical protein	
G1GMP-322-MONOMER	G1GMP-322	Q8EJW9	YER057c/Yigf/Uk114 family protein	
G1GMP-976-MONOMER	G1GMP-976	Q8EHZ9	diguanylate cyclase with PAS and GAF sensory domains	
G1GMP-851-MONOMER	G1GMP-851	Q8EIC9	beta lactamase family protein	
G1GMP-394-MONOMER	G1GMP-394	Q8EJQ3	thioredoxin family protein	
G1GMP-3874-MONOMER	G1GMP-3874	Q8E9R5	2-polyprenylphenol 6-hydroxylase UbiB	UbiB
G1GMP-3257-MONOMER	G1GMP-3257	Q8EBL9	HAE1 family efflux pump permease component MexF	MexF
G1GMP-1034-MONOMER	G1GMP-1034	Q8EHT9	aminoacyl-tRNA deacylase YbaK	YbaK
G1GMP-54-MONOMER	G1GMP-54	Q8EKP0	protein export chaperone SecB	SecB
G1GMP-445-MONOMER	G1GMP-445	Q8EJJ5	4-hydroxybenzoate octaprenyltransferase	UbiA
G1GMP-2672-MONOMER	G1GMP-2672	Q8ED70	DNA ligase NAD-dependent LigA	LigA
G1GMP-2430-MONOMER	G1GMP-2430	Q8EDU7	3-deoxy-7-phosphoheptulonate synthase	AroH
G1GMP-721-MONOMER	G1GMP-721	P82177	NAD dependent malate dehydrogenase Mdh	Mdh
G1GMP-1500-MONOMER	G1GMP-1500	Q8EGH4	translation elongation factor EF-Ts Tsf	Tsf
G1GMP-2469-MONOMER	G1GMP-2469	Q8EDQ9	Mu phage protease GpI	
G1GMP-2734-MONOMER	G1GMP-2734	Q8ED11	Lambda phage phage head-tail joining protein	
G1GMP-1709-MONOMER	G1GMP-1709	Q8EFV8	ATP-dependent protease Lon family	
G1GMP-2056-MONOMER	G1GMP-2056	P59273	enzyme of unknown function UPF0227	
G1GMP-4362-MONOMER	G1GMP-4362	Q8E8E7	tungstate-responsive two component Sigma54-dependent signal transduction system response regulator Fis family	
G1GMP-1166-MONOMER	G1GMP-1166	Q8EHG0	mercaptopyruvate sulfurtransferase SseA	SseA
G1GMP-1284-MONOMER	G1GMP-1284	Q8EH42	aminopeptidase P AmpP	AmpP
G1GMP-3022-MONOMER	G1GMP-3022	Q8ECA1	flagellar L-ring protein FlgH	FlgH
G1GMP-3583-MONOMER	G1GMP-3583	Q8EAN7	4Fe-4S binding protein YjeS	YjeS
G1GMP-594-MONOMER	G1GMP-594	Q8EJ48	periplasmic cyctochrome c oxidase regulatory protein	
G1GMP-2794-MONOMER	G1GMP-2794	Q8ECV3	anthranilate synthase component II glutamine amido-transferase TrpG	TrpG
G1GMP-3710-MONOMER	G1GMP-3710	Q8EAA2	hypothetical protein	
G1GMP-2605-MONOMER	G1GMP-2605	Q8EDD8	two component signal transduction system histidine kinase with GAF sensory domain YehU	YehU
G1GMP-3148-MONOMER	G1GMP-3148	Q8EBW6	cyclopropane-fatty-acyl-phospholipid synthase CfaS	CfaS
G1GMP-3944-MONOMER	G1GMP-3944	Q8E9K3	hypothetical protein	
G1GMP-852-MONOMER	G1GMP-852	Q8EIC8	ankyrin domain protein	
G1GMP-2431-MONOMER	G1GMP-2431	Q8EDU6	acyl-CoA thioesterase	
G1GMP-3454-MONOMER	G1GMP-3454	Q8EB22	ABC-type monosaccharide transport system substrate binding component	
G1GMP-4205-MONOMER	G1GMP-4205	Q8E8V5	predicted periplasmic protein	
G1GMP-4289-MONOMER	G1GMP-4289	Q8E8M1	toxin-antitoxin system antidote Phd family	
G1GMP-1375-MONOMER	G1GMP-1375	Q8EGV4	putative lipoprotein	
G1GMP-4411-MONOMER	G1GMP-4411	Q8E8A1	hypothetical protein	
G1GMP-3324-MONOMER	G1GMP-3324	Q8EBF4	dipeptidyl carboxypeptidase Dcp	Dcp
G1GMP-170-MONOMER	G1GMP-170	Q8EKB1	microcystin dependent MdpB family protein	
G1GMP-251-MONOMER	G1GMP-251	Q8EK41	ABC-type heme export system permease component 1 CcmB	CcmB
G1GMP-1913-MONOMER	G1GMP-1913	Q8EFA4	ATP-dependent helicase DinG family	
G1GMP-2432-MONOMER	G1GMP-2432	Q8EDU5	two component signal transduction system response regulator activating acetyl-CoA synthase LuxR family	
G1GMP-4363-MONOMER	G1GMP-4363	Q8E8E6	ABC-type tungstate uptake system substrate-binding component TupA	TupA
G1GMP-1776-MONOMER	G1GMP-1776	Q8EFP3	succinate dehydrogenase cytochrome b556 subunit SdhC	SdhC
G1GMP-595-MONOMER	G1GMP-595	Q8EJ46	2'-5' RNA ligase	LigT
G1GMP-1652-MONOMER	G1GMP-1652	Q8EG13	ABC-type peptide uptake system ATPase component 2 SapF	SapF
G1GMP-2470-MONOMER	G1GMP-2470	Q8EDQ8	Mu phage major head subunit GpT	
G1GMP-3023-MONOMER	G1GMP-3023	Q8ECA0	flagellar component of cell-distal portion of basal-body rod FlgG	FlgG
G1GMP-1812-MONOMER	G1GMP-1812	Q8EFK8	homogentisate 1,2-dioxygenase HmgA	HmgA
G1GMP-1167-MONOMER	G1GMP-1167	Q8EHF9	protein of unknown function DUF2937	
G1GMP-853-MONOMER	G1GMP-853	Q8EIC7	bifunctional MarR family transcriptional regulator/acteyltransferase GNAT family	
G1GMP-1991-MONOMER	G1GMP-1991	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-3455-MONOMER	G1GMP-3455	Q8EB21	bifunctional oxygen-insensitive NAD(P)H nitroreductase/dihydropteridine reductase NfnB	NfnB
G1GMP-722-MONOMER	G1GMP-722	Q8EIR5	thiol-disulphide oxidoreductase DCC family	
G1GMP-3584-MONOMER	G1GMP-3584	Q8EAN6	transcriptional repressor of molybdate and molybdenium cofactor metabolism ModE	ModE
G1GMP-3711-MONOMER	G1GMP-3711	Q8EAA1	hypothetical protein	
G1GMP-1285-MONOMER	G1GMP-1285	Q8EH41	ROK family protein	
G1GMP-323-MONOMER	G1GMP-323	Q8EJW8	hypothetical protein	
G1GMP-2606-MONOMER	G1GMP-2606	Q8EDD7	two component signal transduction system response regulator YehT	YehT
G1GMP-4206-MONOMER	G1GMP-4206	Q8E8V4	bifunctional diguanylate cyclase with PAS sensory domain/signalling protein with EAL domain	
G1GMP-3149-MONOMER	G1GMP-3149	Q8EBW5	protein of unknown function DUF1365	
G1GMP-977-MONOMER	G1GMP-977	Q8EHZ8	methyl accepting sensory transducer with Cache_1 small molecule binding domain	
G1GMP-3947-MONOMER	G1GMP-3947	Q8E9K1	undecaprenol diphosphatase UppP	UppP
G1GMP-2433-MONOMER	G1GMP-2433	Q8EDU4	transcriptional activator of cys regulon CysB	CysB
G1GMP-395-MONOMER	G1GMP-395	Q8EJQ2	7,8-dihydro-8-oxoguanine-triphosphatase MutT	MutT
G1GMP-55-MONOMER	G1GMP-55	Q8EKN9	glycerol-3-phosphate dehydrogenase (NADP+) GpsA	GpsA
G1GMP-4290-MONOMER	G1GMP-4290	Q8E8M0	hypothetical protein	
G1GMP-136-MONOMER	G1GMP-136	Q8EKF0	oligopeptidase B PtrB	PtrB
G1GMP-1035-MONOMER	G1GMP-1035	Q8EHT8	10 TMS drug/metabolite efflux pump (DME) family	
G1GMP-3813-MONOMER	G1GMP-3813	Q8CX36	putative negative regulator of univalent cation permeability	
G1GMP-4412-MONOMER	G1GMP-4412	Q8E8A0	hypothetical protein	
G1GMP-1849-MONOMER	G1GMP-1849	Q8EFG6	putative periplasmic low complexity protein	
G1GMP-1887-MONOMER	G1GMP-1887	Q8EFD2	diguanylate cyclase	
G1GMP-3875-MONOMER	G1GMP-3875	Q8E9R4	twin arginine protein translocase system protein TatA	TatA
G1GMP-2673-MONOMER	G1GMP-2673	Q8ED69	cell division protein ZipA	ZipA
G1GMP-596-MONOMER	G1GMP-596	Q8EJ45	bifunctional diguanylate cyclase/phosphodiesterase	
G1GMP-2434-MONOMER	G1GMP-2434	Q8EDU3	hypothetical protein	
G1GMP-854-MONOMER	G1GMP-854	Q8EIC6	inosine/xanthosine triphosphatase YjjX	YjjX
G1GMP-1286-MONOMER	G1GMP-1286	Q8EH40	peptidyl-prolyl cis-trans isomerase FklB	FklB
G1GMP-2471-MONOMER	G1GMP-2471	Q8EDQ7	Mu phage uncharacterized protein	
G1GMP-1758-MONOMER	G1GMP-1758	Q7CCS5	ISSod1 transposase TnpA_ISSod1	TnpA
G1GMP-507-MONOMER	G1GMP-507	Q8EJD1	redox-active disulfide protein 2	
G1GMP-3024-MONOMER	G1GMP-3024	Q8EC99	flagellar component of cell-proximal portion of basal-body rod FlgF	FlgF
G1GMP-2735-MONOMER	G1GMP-2735	Q8ED10	Lambda phage head-tail connector protein HK97-gp6 family	
G1GMP-1584-MONOMER	G1GMP-1584	Q8EG82	ABC-type high affinity phosphate uptake system ATPase component PstB	PstB
G1GMP-3456-MONOMER	G1GMP-3456	Q8EB20	DnaJ domain protein	
G1GMP-3585-MONOMER	G1GMP-3585	Q8EAN5	ABC-type molybdate uptake system substrate-binding component ModA	ModA
G1GMP-1461-MONOMER	G1GMP-1461	Q8EGL3	hypothetical protein	
G1GMP-3292-MONOMER	G1GMP-3292	Q8EBI6	peptidyl-prolyl cis-trans isomerase FkpB	FkpB
G1GMP-2608-MONOMER	G1GMP-2608	Q8EDD5	protein of unknown function DUF2132	
G1GMP-2795-MONOMER	G1GMP-2795	Q8ECV2	anthranilate phosphoribosyltransferase TrpD	TrpD
G1GMP-3712-MONOMER	G1GMP-3712	Q8EAA0	putative recombination regulator protein DUF3584 family	
G1GMP-2435-MONOMER	G1GMP-2435	Q8EDU1	Mu phage transcriptional regulator Cro/CI family C	
G1GMP-4207-MONOMER	G1GMP-4207	Q8E8V2	DTW domain-containing protein	
G1GMP-3325-MONOMER	G1GMP-3325	Q8EBF3	2',3'-cyclic-nucleotide 2'-phosphodiesterase	CpdB
G1GMP-3150-MONOMER	G1GMP-3150	Q8EBW4	amine oxidase	
G1GMP-3949-MONOMER	G1GMP-3949	K4PSL4	redox-active disulfide protein	
G1GMP-171-MONOMER	G1GMP-171	Q8EKB0	microcystin dependent MdpB family protein	
G1GMP-109-MONOMER	G1GMP-109	Q8EKI1	inhibitor of invertebrate-type lysozyme PliI-like family	
G1GMP-1501-MONOMER	G1GMP-1501	Q8EGH3	uridylate kinase PyrH	PyrH
G1GMP-597-MONOMER	G1GMP-597	Q8EJ43	TonB-dependent copper receptor NosA	NosA
G1GMP-4364-MONOMER	G1GMP-4364	Q8E8E5	ABC-type tungstate uptake system permease component TupB	TupB
G1GMP-1670-MONOMER	G1GMP-1670	Q8EFZ6	4-toluene sulfonate uptake permease family protein	
G1GMP-855-MONOMER	G1GMP-855	Q8EIC5	acyl-homoserine lactone acylase AaiD	AaiD
G1GMP-1992-MONOMER	G1GMP-1992	Q8EF28	diguanylate cyclase with PAS sensory domain	
G1GMP-252-MONOMER	G1GMP-252	Q8EK40	ABC-type heme export system ATPase component CcmA	CcmA
G1GMP-2436-MONOMER	G1GMP-2436	Q8EDU0	Mu phage transcriptional regulator Ner	Ner
G1GMP-3457-MONOMER	G1GMP-3457	Q8EB18	thiol:disulfide interchange protein DsbA family	
G1GMP-476-MONOMER	G1GMP-476	Q8EJG6	lipoprotein of unknown function DUF3313	
G1GMP-723-MONOMER	G1GMP-723	Q8EIR4	dihydrofolate reductase FolM	FolM
G1GMP-4413-MONOMER	G1GMP-4413	Q8E899	hypothetical protein	
G1GMP-1287-MONOMER	G1GMP-1287	Q8EH39	short chain fatty acids transporter AtoE	AtoE
G1GMP-2472-MONOMER	G1GMP-2472	Q8EDQ6	Mu phage uncharacterized protein	
G1GMP-3025-MONOMER	G1GMP-3025	Q8EC97	flagellar hook protein FlgE	FlgE
G1GMP-1036-MONOMER	G1GMP-1036	Q8EHT7	chaperone protein DnaK	DnaK
G1GMP-1623-MONOMER	G1GMP-1623	Q8EG37	transcriptional repressor of glycerate utilization SdaR	SdaR
G1GMP-324-MONOMER	G1GMP-324	Q8EJW7	modulator of rho-dependent transcriptional termination RofA	RofA
G1GMP-1168-MONOMER	G1GMP-1168	Q8EHF8	FAD-dependent oxidoreductase	
G1GMP-396-MONOMER	G1GMP-396	Q8EJQ1	putative zinc-binding protein of unknown function DUF329 YacG	YacG
G1GMP-3586-MONOMER	G1GMP-3586	Q8EAN4	ABC-type molybdate uptake system permease component ModB	ModB
G1GMP-2057-MONOMER	G1GMP-2057	Q8EEW0	acylphosphatase AcyP	AcyP
G1GMP-4208-MONOMER	G1GMP-4208	Q8E8V1	drug:H+ antiporter DHA1 family	
G1GMP-4028-MONOMER	G1GMP-4028	Q8E9C8	predicted lipoprotein	
G1GMP-3151-MONOMER	G1GMP-3151	Q8EBW3	oxidoreductase short-chain dehydrogenase/reductase family	
G1GMP-3258-MONOMER	G1GMP-3258	Q8EBL8	HAE1 family efflux pump MFP component MexE	MexE
G1GMP-3713-MONOMER	G1GMP-3713	Q8EA97	protein of unknown function DUF3581	
